Starting Registration 
*************************************************
  N=128   NUMBER OF CORRECTIONS=5       INITIAL VALUES F= 1273.94   GNORM= 3136.76
*************************************************
   I   NFN    FUNC        GNORM       STEPLENGTH
  65   83       529.737   62663.128       0.527
  66   84       528.762   59620.287       1.500
  67   85       527.336   79768.595       1.500
  68   86       525.447   92790.682       1.500
  69   87       523.967   66039.856       1.500
  70   88       523.051   45564.041       1.500
  71   89       522.110   73898.616       1.500
  72   91       521.346   59155.642       0.582
  73   92       520.696   45605.909       1.500
  74   93       519.902   49042.828       1.500
  75   94       519.042   77954.087       1.500
  76   95       517.944   43108.023       1.500
  77   96       517.305   40377.986       1.500
  78   97       516.568   69422.634       1.500
  79   99       516.022   58170.904       0.442
  80  100       515.267   50820.858       1.500
  81  101       514.740   48991.921       1.500
  82  102       514.430   98963.169       1.500
  83  103       513.023   38225.063       1.500
  84  104       512.427   51240.867       1.500
  85  105       511.790   69339.083       1.500
  86  107       511.281   42041.234       0.456
  87  108       510.796   46590.574       1.500
  88  109       510.150   40766.524       1.500
  89  111       509.494   42762.065       0.568
  90  112       509.251   46992.725       1.500
  91  113       508.881   60879.188       1.500
  92  114       508.136   37327.435       1.500
  93  115       507.438   82773.826       1.500
  94  116       506.665   87101.174       1.500
  95  117       506.058   34744.633       1.500
  96  118       505.620   44206.674       1.500
  97  119       504.799   50936.727       1.500
  98  121       504.158   55851.408       0.601
  99  122       503.621   40744.102       1.500
 100  123       503.086   46926.595       1.500
 101  124       502.595   31715.005       1.500
 102  125       502.481   68827.218       1.500
 103  127       502.225   42107.447       0.541
 104  128       501.848   40212.133       1.500
 105  129       501.506   33695.134       1.500
 106  130       501.139   39179.097       1.500
 107  131       500.993   79404.821       1.500
 108  132       500.044   25018.944       1.500
 109  133       499.758   34227.651       1.500
 110  134       499.386   50478.797       1.500
 111  135       499.187   63310.219       1.500
 112  136       498.746   28069.902       1.500
 113  137       498.567   36934.990       1.500
 114  138       498.260   41227.619       1.500
 115  140       498.072   38314.892       0.245
 116  141       497.858   43298.571       1.500
 117  142       497.302   47469.912       1.500
 118  143       497.059   69842.367       1.500
 119  144       496.385   73321.118       1.500
 120  145       495.941   26399.551       1.500
 121  146       495.556   35727.894       1.500
 122  147       495.151   45077.603       1.500
 123  149       494.909   46866.369       0.411
 124  150       494.433   32999.130       1.500
 125  151       493.634   56704.632       1.500
 126  153       493.485   35589.912       0.301
 127  154       493.189   41534.730       1.500
 128  155       492.891   31179.882       1.500
 129  156       492.632   55136.635       1.500
 130  157       492.104   71462.531       1.500
 131  158       491.654   33096.820       1.500
 132  159       491.649   41865.025       1.500
 133  160       491.479   31995.143       1.500
 134  161       491.227   26767.550       1.500
 135  163       491.065   26871.062       0.535
 136  165       491.012   17438.131       0.301
 137  166       490.890   29346.542       1.500
 138  167       490.661   29886.770       1.500
 139  168       490.324   32376.867       1.500
 140  169       490.131   54215.967       1.500
 141  170       489.989   21555.643       1.500
 142  171       489.969   34947.660       1.500
 143  172       489.921   32601.698       1.500
 144  174       489.836   31454.971       0.413
 145  175       489.829   42628.706       1.500
 146  176       489.691   74868.062       1.500
 147  177       489.119   21630.029       1.500
 148  178       488.996   17612.696       1.500
 149  179       488.834   28033.591       1.500
 150  181       488.719   36405.666       0.206
 151  182       488.521   32796.223       1.500
 152  183       488.347   39410.089       1.500
 153  184       488.291   65214.416       1.500
 154  185       487.986   21515.113       1.500
 155  186       487.869   15780.809       1.500
 156  187       487.770   32708.023       1.500
 157  188       487.702   42194.069       1.500
 158  189       487.602   17601.521       1.500
 159  190       487.519   25066.547       1.500
 160  191       487.257   27352.094       1.500
 161  193       487.159   26804.599       0.413
 162  194       486.916   23254.086       1.500
 163  195       486.764   20408.249       1.500
 164  196       486.460   40943.449       1.500
 165  197       486.342   54156.445       1.500
 166  198       486.272   25294.720       1.500
 167  199       486.181   19085.552       1.500
 168  201       486.136   17664.639       0.369
 169  203       486.054   18811.009       0.287
 170  214       486.026   17477.335       0.088
 171  216       486.022   17926.751       0.326
 172  218       485.898   16424.308       0.268
 173  220       485.803   22482.658       0.409
 174  222       485.775   15990.191       0.180
 175  223       485.750   19763.521       1.500
 176  224       485.580   26963.948       1.500
 177  225       485.520   33952.297       1.500
 178  226       485.387   32411.335       1.500
 179  227       485.180   17372.303       1.500
 180  228       484.995   29757.856       1.500
 IFLAG= -1  LINE SEARCH FAILED. SEE DOCUMENTATION OF ROUTINE MCSRCH ERROR RETURN OF LINE SEARCH: INFO= 3 POSSIBLE CAUSES: FUNCTION OR GRADIENT ARE INCORRECT OR INCORRECT TOLERANCESOptimizer stop condition = LBFGSOptimizerv4: Failure
